month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2020-01-01,Y61,Atorvastatin,Atorvastatin 10mg tablets,83059,2705852.0,6948512,0.011953494503571412
2020-01-01,Y63,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,335,11399.0,8933862,3.749778091490556e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 40mg tablets,243078,6811571.0,8933862,0.02720861369920422
2020-01-01,Y61,Atorvastatin,Atorvastatin 60mg tablets,398,13248.0,6948512,5.727845040779954e-05
2020-01-01,Y63,Atorvastatin,Lipitor 20mg chewable tablets,8,412.0,8933862,8.954693949828193e-07
2020-01-01,Y56,Atorvastatin,Lipitor 80mg tablets,43,1994.0,10249920,4.195154693890293e-06
2020-01-01,Y62,Atorvastatin,Atorvastatin 10mg tablets,74130,2469841.0,7571377,0.009790821405406177
2020-01-01,Y59,Atorvastatin,Atorvastatin 30mg tablets,96,4053.0,9405869,1.0206393476243397e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,49,14070.0,8933862,5.484750044269768e-06
2020-01-01,Y56,Atorvastatin,Atorvastatin 40mg tablets,180903,5431660.0,10249920,0.0176492109206706
2020-01-01,Y62,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,151,5028.0,7571377,1.9943532068208992e-05
2020-01-01,Y62,Atorvastatin,Lipitor 10mg tablets,362,13923.0,7571377,4.781164641517653e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 20mg/5ml oral solution,1,300.0,8933862,1.1193367437285241e-07
2020-01-01,Y60,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,123,3378.0,11338801,1.0847707795559689e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 10mg tablets,91018,2713405.0,8933862,0.01018797917406828
2020-01-01,Y59,Atorvastatin,Atorvastatin 20mg tablets,222744,8551635.0,9405869,0.02368138446325374
2020-01-01,Y59,Atorvastatin,Atorvastatin 10mg tablets,79879,3012566.0,9405869,0.008492463588425482
2020-01-01,Y61,Atorvastatin,Lipitor 20mg tablets,428,14112.0,6948512,6.159592154406584e-05
2020-01-01,Y60,Atorvastatin,Atorvastatin 20mg tablets,386074,13039176.0,11338801,0.034048926337096844
2020-01-01,Y63,Atorvastatin,Lipitor 10mg tablets,395,13878.0,8933862,4.4213801377276704e-05
2020-01-01,Y59,Atorvastatin,Lipitor 20mg tablets,805,28498.0,9405869,8.558486196224931e-05
2020-01-01,Y62,Atorvastatin,Lipitor 20mg tablets,312,12103.0,7571377,4.120782784954441e-05
2020-01-01,Y61,Atorvastatin,Lipitor 40mg tablets,244,8365.0,6948512,3.511543190829922e-05
2020-01-01,Y61,Atorvastatin,Lipitor 10mg chewable tablets,12,442.0,6948512,1.726988454506519e-06
2020-01-01,Y56,Atorvastatin,Lipitor 20mg tablets,375,18764.0,10249920,3.658565140020605e-05
